title	duration_min
The Last Days of American Crime	149
Living in Bondage: Breaking Free	149
Gumrah	149
Dear Zindagi	149
Oct-01	149
Balu Mahi	149
Bewafaa	149
Humko Deewana Kar Gaye	149
Kya Kehna	149
Playing for Time	149
Pyaar Ka Punchnama	149
Inception	148
Army of the Dead	148
Gangaajal	148
Into the Wild	148
The Endless Trench	148
The Perfect Picture: Ten Years Later	148
Thambi	148
Don 2	148
Taramani	148
7 Khoon Maaf	148
Aakhri Adaalat	148
Yaar Gaddar	148
Chaahat	148
Bhool Bhulaiyaa	148
Burning	148
Golmaal: Fun Unlimited	148
Kabali (Hindi Version)	148
Mi Shivajiraje Bhosale Boltoy	148
Shararat	148
Minsara Kanavu	147
Omo Ghetto: the Saga	147
Jaane Tu... Ya Jaane Na	147
World Famous Lover	147
Kurbaan	147
Naan Sigappu Manithan	147
Alibaba Aur 40 Chor	147
Bad Boys II	147
Lechmi	147
The Help	147
War Horse	147
Yamla Pagla Deewana 2	147
Dedh Ishqiya	146
Oh! Baby (Malayalam)	146
Oh! Baby (Tamil)	146
Shabd	146
Tim Minchin And The Heritage Orchestra Live	146
Faraar	146
ABCD 2	146
Satyagraha	146
Anjaan	146
PK	146
Udta Punjab	146
Chitty Chitty Bang Bang	146
Sex and the City 2	146
Tughlaq Durbar	145
Tughlaq Durbar (Telugu)	145
The Dirty Picture	145
Memoirs of a Geisha	145
Gold Statue	145
Uppena	145
Ghost Stories	145
Vanjagar Ulagam	145
Dil Vil Pyaar Vyaar	145
Kismat Konnection	145
Toilet: Ek Prem Katha	145
Judwaa 2	145
Casino Royale	145
For Greater Glory	145
GoodFellas	145
Lalbaug Parel: Zali Mumbai Sonyachi	145
Sardaarji 2	145
Sex and the City: The Movie	145
Varane Avashyamund	144
Gori Tere Pyaar Mein	144
Barfi!	144
22 July	144
Let It Fall: Los Angeles 1982-1992	144
Lucknow Central	144
22-Jul	144
Black Hawk Down	144
Ready	144
Anjaam	143
Department	143
Ujala	143
Ride or Die	143
The Fisherman's Diary	143
Red	143
Jab We Met	143
Psycho	143
Magnificent	143
The Sky Is Pink	143
Guna 369	143
Rudy Habibie	143
Heroine	143
2 States	143
Raees	143
Elaan	143
Howards End	143
The Perfect Dictatorship	143
1920	143
Babel	143
Laal Rang	143
Master	143
Singh Saab the Great	143
Clear and Present Danger	142
Once Upon a Time in Mumbai Dobaara!	142
Catch Me If You Can	142
Ajeeb Daastaans	142
Singham	142
Dostana	142
Care of Kancharapalem	142
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese	142
Jatt James Bond	142
Jab Harry Met Sejal	142
Ram Jaane	142
A Flying Jatt	142
Soekarno	142
Seabiscuit	141
Madness in the Desert	141
Mandela: Long Walk to Freedom	141
Iyore	141
The King	141
Romeo Akbar Walter	141
Hikaru Utada Laughter in the Dark Tour 2018	141
Ek Khiladi Ek Haseena	141
Sigaram Thodu	141
Dushman	141
Naam Shabana	141
Bandie	141
Gie	141
Insan	141
Molly's Game	141
Rustom	141
Sat Sri Akal	141
The Pelican Brief	141
The Phantom of the Opera	141
Nneka The Pretty Serpent	140
Mobile Suit Gundam III: Encounters in Space	140
Sardar Ka Grandson	140
Mandela	140
Hunterrr	140
Lara and the Beat	140
Offering to the Storm	140
Love Aaj Kal	140
Talaash	140
Sur Sapata	140
Himmatwala	140
Illang: The Wolf Brigade	140
25 Kille	140
What the Jatt!!	140
Spyder	140
Steel Rain	140
Den of Thieves	140
Eat Pray Love	140
Issaq	140
Katha	140
Patiala House	140
Sardaar ji	140
The Age of Shadows	140
The Place Beyond the Pines	140
Wrong Side Raju	140
Takizawa Kabuki ZERO 2020 The Movie	139
Mobile Suit Gundam I	139
Get on Up	139
Animals on the Loose: A You vs. Wild Movie	139
Shutter Island	139
Angels & Demons	139
Free State of Jones	139
Saheb Biwi Aur Gangster Returns	139
The Devil All The Time	139
Boss	139
Thottappan	139
Rock On!!	139
The Drug King	139
Mundeyan Ton Bachke Rahin	139
Race 2	139
Mom	139
As Good as It Gets	139
I Am Not Madame Bovary	139
Kaabil	139
Operation Red Sea	139
Spider-Man 3	139
The Talented Mr. Ripley	139
Rurouni Kenshin: The Beginning	138
Major Grom: Plague Doctor	138
Silver Skates	138
Mystic River	138
Space Sweepers	138
PhotoCopy	138
Poshter Girl	138
Queen	138
Bheeshma	138
Kapoor & Sons	138
The Visit	138
HOMECOMING: A film by Beyoncé	138
Baahubali: The Beginning (English Version)	138
Haapus	138
Hans Zimmer: Live in Prague	138
K-19: The Widowmaker	138
Masoom	138
The Lives of Others	138
The Mask of Zorro	138
The Matrix Reloaded	138
The Natural	138
Rurouni Kenshin: The Final	137
The Master	137
Black	137
Nee Enge En Anbe	137
Uma Maheswara Ugra Roopasya	137
Special 26	137
Marriage Story	137
Qismat	137
Defiance	137
The Man Who Feels No Pain	137
Sur: The Melody of Life	137
High Society	137
Andhadhun	137
Monty Python Live (Mostly): One Down, Five to Go	137
Dev.D	137
Haani	137
Judge Singh LLB	137
Udaan	137
Rowdy Rathore	137
First They Killed My Father	137
Pandora	137
Beasts of No Nation	137
7 Din Mohabbat In	137
A Clockwork Orange	137
Coach Carter	137
Company	137
Gol Maal	137
Gosford Park	137
Irada Pakka	137
Karzzzz	137
Kill Bill: Vol. 2	137
Maine Pyaar Kyun Kiya	137
Papa the Great	137
Rosemary's Baby	137
Sadma	137
Socha Na Tha	137
Teen Patti	137
Y.M.I.: Yeh Mera India	137
Kucch To Hai	136
Kyaa Super Kool Hain Hum	136
Haseen Dillruba	136
RattleSnake - The Ahanna Story	136
The Outlaw Josey Wales	136
The Lovely Bones	136
Mucize	136
Miss India	136
The Hater	136
Pyaar Ka Punchnama 2	136
Destiny	136
Sincerely Yours, Dhaka	136
Mauli	136
The Tree of Blood	136
Baazaar	136
Muzaffarnagar Baaqi Hai	136
ABCD: Any Body Can Dance	136
Manje Bistre	136
Miracle	136
Road to Sangam	136
The Great Battle	136
The Matrix	136
The Rainmaker	136
Koi Aap Sa	135
Bombay	135
Chennai Express	135
A Family	135
Well Done Abba	135
Golmaal Returns	135
I'm Thinking of Ending Things	135
One by Two	135
Thackeray (Marathi)	135
Thackeray (Hindi)	135
X Large	135
Uncut Gems	135
Time to Hunt	135
Hasee Toh Phasee	135
Bypass Road	135
Fukrey	135
Game	135
Karthik Calling Karthik	135
Jindua	135
The Zoya Factor	135
Marriage Palace	135
Dabbe: The Possession	135
ROMA	135
Mumbai Meri Jaan	135
Freedom at Midnight	135
The House Next Door	135
Mudbound	135
Baadshaho	135
26 Years	135
Chadi Jawani Budhe Nu	135
Black Panther	135
Jora 10 Numbaria	135
Moor	135
One Day	135
Shaurya: It Takes Courage to Make Right... Right	135
Sling Blade	135
Solo: A Star Wars Story	135
Solo: A Star Wars Story (Spanish Version)	135
Suburra	135
Rain Man	134
The Conjuring 2	134
Snowden	134
Disco Dancer	134
Pek Yakında	134
Bangistan	134
Mahi NRI	134
Evvarikee Cheppoddu	134
Dorasaani	134
Muran	134
Paheli	134
FullMetal Alchemist	134
Salaakhen	134
Anwar	134
Ek Hasina Thi	134
For Colored Girls	134
Hostiles	134
Invictus	134
Jersey Boys	134
Madaari	134
Run	134
Trikal (Past, Present, Future)	134
Once Upon a Time in Mumbaai	133
O Kadhal Kanmani	133
The Best of Enemies	133
Mobile Suit Gundam II: Soldiers of Sorrow	133
Million Dollar Baby	133
Roohi	133
Ferrari Ki Sawaari	133
The Yin-Yang Master: Dream Of Eternity	133
The Next Three Days	133
Torbaaz	133
MANK	133
Raman Raghav 2.0	133
Aapla Manus	133
The Kissing Booth 2	133
The Last Bomb of the Second World War	133
Sillu Karuppatti	133
Thug Life	133
Malaal	133
Ee Nagaraniki Emaindi	133
Kaake Da Viyah	133
Dabbe 5: Zehr-i Cin	133
The Ballad of Buster Scruggs	133
Grandmaster	133
Tamasha	133
Nothing to Lose	133
Love Per Square Foot	133
Aata Pita	133
Across the Universe	133
Asura: The City of Madness	133
